Title	WebSite	Address	Phone
Szechuan Place	https://szechuanplace.us/	9250 Reseda Blvd, Northridge, CA 91324, United States	+1 818-280-5355
Small Island	http://www.smallislandfood.com/	9545 Reseda Blvd #16, Northridge, CA 91324, United States	+1 818-341-1884
A & W Seafood Restaurant	https://aandwseafoodnorthridge.com/	9306 Reseda Blvd, Northridge, CA 91324, United States	+1 818-882-6668
Chipotle Mexican Grill	https://locations.chipotle.com/ca/northridge/19332-nordhoff-st?utm_source=google&utm_medium=yext&utm_campaign=yext_listings	19332 Nordhoff St, Northridge, CA 91324, United States	+1 818-671-2232
Rubio's	https://www.rubios.com/store-locations/california/northridge/northridge?utm_source=gmb&utm_medium=websitelink	19500 Plummer St Suite B-3, Northridge, CA 91324, United States	+1 818-998-6704
Gen Korean BBQ House	http://genkoreanbbq.com/	10151 Reseda Blvd, Northridge, CA 91324, United States	+1 818-709-3932
Tropical Buffet & Grill	https://www.facebook.com/tropicalbuffetandgrill/	19530 Nordhoff St, Northridge, CA 91324, United States	+1 818-678-6688
Pisco Sour Market & Peruvian Restaurant	http://www.piscosourmarket.com/	19239 Roscoe Blvd, Northridge, CA 91324, United States	+1 818-453-0700
The Habit Burger Grill (Drive-Thru)	https://www.habitburger.com/locations/northridge/	9215 Reseda Blvd, Northridge, CA 91324, United States	+1 818-993-7113
IHOP	https://www.ihop.com/en/restaurants-northridge-ca/9012-tampa-avenue-3527?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places	9012 Tampa Ave, Northridge, CA 91324, United States	+1 818-280-6605
Pho 22	http://www.pho22.com/northridge.html	9651 Reseda Blvd, Northridge, CA 91324, United States	+1 818-341-4022
Five Guys	https://order.fiveguys.com/menu/northridge/	8850 Tampa Ave, Northridge, CA 91324, United States	+1 818-993-1390
Chipotle Mexican Grill	https://locations.chipotle.com/ca/northridge/9205-reseda-blvd?utm_source=google&utm_medium=yext&utm_campaign=yext_listings	9205 Reseda Blvd, Northridge, CA 91324, United States	+1 818-772-5873
Honeyfish Poke	http://www.honeyfishpoke.com/	8850 Tampa Ave #107, Los Angeles, CA 91324, United States	+1 818-273-7395
All American BBQ	https://www.allamerbbq.com/	18697 Devonshire St, Northridge, CA 91324, United States	+1 818-363-6500
El Torito	https://locations.eltorito.com/store/northridge-2	8855 Tampa Ave, Northridge, CA 91324, United States	+1 818-349-1607
Kopan Sushi & Ramen	http://kopanramen.com/menu/northridge/	19500 Plummer St b1, Northridge, CA 91324, United States	+1 818-960-4233
Del Taco	http://www.deltaco.com/	8941 Corbin Ave, Northridge, CA 91324, United States	+1 818-709-8536
Burgerim	https://www.burgerim.com/our-locations/northridge/	9034 Tampa Ave, Northridge, CA 91324, United States	+1 818-477-2032
Chop Stop	https://www.chopstop.com/	9225 Reseda Blvd, Northridge, CA 91324, United States	+1 818-477-2966
Castillo	https://www.facebook.com/CastilloMexicanRestaurant	18904 Roscoe Blvd, Northridge, CA 91324, United States	+1 818-772-0901
Rosie's BBQ and Grillery	http://www.rosiesbbq.com/	8930 Corbin Ave, Northridge, CA 91324, United States	+1 818-349-3055
Farmer Boys	http://www.farmerboys.com/northridge-reseda-blvd/	9010 Reseda Blvd, Northridge, CA 91324, United States	+1 818-882-7888
Q & Q Hawaiian B.B.Q	http://www.qqhawaiianbbq.com/	8850 Tampa Ave #104, Northridge, CA 91324, United States	+1 818-882-6789
H2O Sushi & Izakaya	http://h2osushiizakaya.com/	9301 Tampa Ave #144, Northridge, CA 91324, United States	+1 818-700-8300
Village Tandoor	http://www.northridgevillagetandoor.com/	18530 Devonshire St, Northridge, CA 91324, United States	+1 818-366-2820
Del Taco	http://www.deltaco.com/	19309 Roscoe Blvd, Northridge, CA 91324, United States	+1 818-998-5995
Las Dunas Peruvian Cuisine	http://lasdunasperuviancuisine.com/	9350 Corbin Ave, Northridge, CA 91324, United States	+1 818-818-5063
Red Robin Gourmet Burgers and Brews	https://www.redrobin.com/	9301 Tampa Ave Unit 128, Northridge, CA 91324, United States	+1 818-717-5030
The Flame Broiler	http://www.flamebroilerusa.com/	19350 Nordhoff St, Northridge, CA 91324, United States	+1 818-734-7300
Ubatuba Acai	http://www.ubatubaacai.com/	9667 Reseda Blvd, Northridge, CA 91324, United States	+1 818-960-9090
El Taco Llama.	https://www.facebook.com/pages/El-Taco-Llama/118883068126379	8709 Corbin Ave # B, Northridge, CA 91324, United States	+1 818-885-5918
TacosWay	https://tacosway.com/	8341 Tampa Ave, Northridge, CA 91324, United States	+1 747-202-0441
Jack in the Box	https://locations.jackinthebox.com/us/ca/northridge/9433-reseda-blvd	9433 Reseda Blvd, Northridge, CA 91324, United States	+1 818-885-8261
Potato Corner	http://potatocornerusa.com/locations/	9301 Tampa Ave, Northridge, CA 91324, United States	+1 818-885-9700
Subway	https://order.subway.com/en-us/restaurant/51680/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=51680&utm_campaign=evergreen-2020	18545 Roscoe Blvd, Northridge, CA 91324, United States	+1 818-280-3090
Baja Fresh	http://www.bajafresh.com/stores/mexican-food-northridge/30690	9159 Reseda Blvd, Northridge, CA 91324, United States	+1 818-341-4575
Xevichez sushi bar	http://www.xevichezsushibar.com/	18531 Devonshire St, Northridge, CA 91324, United States	+1 747-239-1904
Myungin Dumplings (명인만두)	http://myungindumplings.net/	19520 Nordhoff St #4, Northridge, CA 91324, United States	+1 818-280-6001
El Pollo Loco	http://www.elpolloloco.com/locations/store/5737	8301 Reseda Blvd, Northridge, CA 91324, United States	+1 818-886-3157
Black Angus Steakhouse	http://locations.blackangus.com/ll/us/ca/northridge/9145-corbin-avenue?utm_source=MomentFeed_1058	9145 Corbin Ave, Northridge, CA 91324, United States	+1 818-701-1600
Poke Bar	http://www.ilovepokebar.com/	9301 Tampa Ave FC6, Northridge, CA 91324, United States	+1 818-885-1185
Subway	https://order.subway.com/en-us/restaurant/447/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=447&utm_campaign=evergreen-2020	8866 Corbin Ave, Northridge, CA 91324, United States	+1 818-701-5073
L & L Hawaiian Barbecue	http://hawaiianbarbecue.com/	18657 Devonshire St, Northridge, CA 91324, United States	+1 818-363-8840
Mamicon's Restaurant	http://mamiconsrestaurantcom.com/	8363 Reseda Blvd unit 13, Northridge, CA 91324, United States	+1 818-477-2448
Subway	https://order.subway.com/en-us/restaurant/24279/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=24279&utm_campaign=evergreen-2020	18649 Devonshire St, Northridge, CA 91324, United States	+1 818-363-2138
Little Caesars Pizza	https://littlecaesars.com/en-us/store/6203?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=6203	9000-9020 Reseda Blvd, Northridge, CA 91324, United States	+1 818-349-9200
Bob's Big Boy	http://www.northridgebobsbigboy.com/	8876 Corbin Ave, Northridge, CA 91324, United States	+1 818-772-2627
Outback Steakhouse	https://www.outback.com/	18711 Devonshire St, Northridge, CA 91324, United States	+1 818-366-2341
Urbane Cafe	http://www.urbanecafe.com/	9020 Reseda Blvd, Northridge, CA 91324, United States	+1 818-812-9036
Stone Oven	http://www.stoneoven.com/	9301 Tampa Ave #104, Northridge, CA 91324, United States	+1 818-718-8811
Burger King	https://burgerking.com/store-locator/store/restaurant_549	19640 Nordhoff St, Northridge, CA 91324, United States	+1 818-885-9363
Gold Medal Buffet and Grill	https://www.goldmedalbuffet.com/	9224 Reseda Blvd, Northridge, CA 91324, United States	+1 818-998-3688
McDonald's	https://www.mcdonalds.com/us/en-us/location/CA/NORTHRIDGE/9101-RESEDA-BLVD/7074.html?cid=RF:YXT:GMB::Clicks	9101 Reseda Blvd, Northridge, CA 91324, United States	+1 818-886-8203
Wingstop	https://www.wingstop.com/location/wingstop-605-northridge-ca-91324/menu?utm_source=google&utm_medium=distrib&utm_campaign=google-distrib	9041 Reseda Blvd, Northridge, CA 91324, United States	+1 818-998-9464
Chuck E. Cheese	https://locations.chuckecheese.com/us/ca/northridge/8425-reseda-blvd.	8425 Reseda Blvd, Northridge, CA 91324, United States	+1 818-993-3447
Bar Louie - Northridge Fashion Center	https://www.barlouie.com/locations/us/ca/northridge/northridge-fashion-center?utm_source=other&utm_medium=listings	9301 Tampa Avenue Suite# 218, Northridge, CA 91324, United States	+1 747-237-3500
Burger King	https://burgerking.com/store-locator/store/restaurant_2817	8500 Reseda Blvd, Northridge, CA 91324, United States	+1 818-349-1985
Dunkin'	https://smart.link/abu8tr12sc1y6?utm_source=google&utm_medium=local&utm_campaign=gmbwebsiteorder&utm_content=354575	9355 Reseda Blvd, Northridge, CA 91324, United States	+1 818-341-3333
Jamba	https://www.jamba.com/ca/northridge/plaza-di-northridge-111?utm_source=google&utm_medium=organic&utm_campaign=localmaps	19500 Plummer Street #F-3, Northridge, CA 91324, United States	+1 818-678-6979
Shik Do Rak Northridge	https://shikdorakrestaurant.com/	18434 Devonshire St, Northridge, CA 91325, United States	+1 818-832-7080
Shakey's Pizza Parlor	https://www.shakeys.com/locations/los-angeles/northridge-reseda-pizza-restaurant/	10340 Reseda Blvd, Northridge, CA 91326, United States	+1 818-360-2151
Umai Savory Hot Dogs	https://umaihotdogs.com/	9301 Tampa Ave FC5, Northridge, CA 91324, United States	+1 818-671-0373
Panda Express	https://www.pandaexpress.com/userlocation/219/CA/Northridge/18427-d-Nordhoff-St	18427-d Nordhoff St, Northridge, CA 91325, United States	+1 818-700-2829
Pizza Hut	https://locations.pizzahut.com/ca/northridge/10231-reseda-avenue	10231 Reseda Blvd, Northridge, CA 91324, United States	+1 818-998-4700
Hawaiian Hot Chicken	http://hawaiianhotchicken.square.site/	17646 Lassen St #5, Northridge, CA 91324, United States	+1 818-456-6187
Costco Food Court	http://m.costco.com/WarehouseLocatorView%3FlangId%3D-1%26storeId%3D10301%26catalogId%3D10701	8810 Tampa Ave, Northridge, CA 91324, United States	+1 818-775-2997
Dave & Buster's	https://www.daveandbusters.com/locations/northridge	9301 Tampa Ave Suite 212, Northridge, CA 91324, United States	+1 818-739-3100
Panda Chinese Fast Food	https://myhotwokcafe.com/	8880 Corbin Ave, Northridge, CA 91324, United States	+1 818-349-6699
Rita's Italian Ice & Frozen Custard	http://www.ritasfranchises.com/Northridge	9002 Tampa Ave, Northridge, CA 91324, United States	+1 818-998-9444
85°C Bakery Cafe	http://www.85cbakerycafe.com/	9046 Tampa Ave, Northridge, CA 91324, United States	+1 818-576-9885
Ben & Jerry’s	https://www.benjerry.com/northridge	9301 Tampa Ave #121, Northridge, CA 91324, United States	+1 818-349-7714
Jamba	https://www.jamba.com/ca/northridge/devonshire-reseda-sc-163?utm_source=google&utm_medium=organic&utm_campaign=localmaps	18506 Devonshire St, Northridge, CA 91324, United States	+1 818-885-5801
Presto Pasta	http://prestopasta.com/	17923 Chatsworth St #5606, Granada Hills, CA 91344, United States	+1 818-360-7737
Auntie Anne's	https://www.auntieannes.com/ca/northridge/143-1?utm_source=google&utm_medium=organic&utm_campaign=localmaps	9301 Tampa Ave Space 152, Northridge, CA 91324, United States	+1 818-998-8532
Mimi's Cafe	https://www.mimiscafe.com/locations/northridge/	19710 Nordhoff Pl, Chatsworth, CA 91311, United States	+1 818-717-8334
Mis Raices Salvadoran Restaurant	http://misraicessalvadoreanrestaurant.com/	7539 Reseda Blvd, Reseda, CA 91335, United States	+1 818-708-1205
The Habit Burger Grill	https://www.habitburger.com/locations/chatsworth/	9243 Winnetka Ave, Chatsworth, CA 91311, United States	+1 818-773-0257
Panda Express	https://www.pandaexpress.com/userlocation/426/CA/Granada-Hills/18080-Chatsworth-St-b	18080 Chatsworth St #b, Granada Hills, CA 91344, United States	+1 818-366-8632
Del Taco	http://www.deltaco.com/	18070 Chatsworth St, Granada Hills, CA 91344, United States	+1 818-832-6373
Yoshinoya Nordhoff & Reseda	http://www.yoshinoyaamerica.com/	18441 Nordhoff St, Northridge, CA 91325, United States	+1 818-885-5133
Jack in the Box	https://locations.jackinthebox.com/us/ca/granada-hills/17744-chatsworth-st	17744 Chatsworth St, Granada Hills, CA 91344, United States	+1 818-363-9013
Jersey Mike's Subs	https://www.jerseymikes.com/20026	19350 C Nordhoff St, Northridge, CA 91324, United States	+1 818-886-5800
Poquito Mas	http://www.poquitomas.com/	9229 Winnetka Avenue # A # A, Chatsworth, CA 91311, United States	+1 818-775-1555
Pieology Pizzeria Granada Village	https://www.pieology.com/locations/CA/granada-village	17943 Chatsworth St Unit 30A, Granada Hills, CA 91344, United States	+1 818-814-9454
Vallarta Supermarkets	https://vallartasupermarkets.com/en/store-locations/Northridge-5	8453 Reseda Blvd, Northridge, CA 91324, United States	+1 818-576-1280
Applebee's Grill + Bar	https://www.applebees.com/en/restaurants-chatsworth-ca/9255-winnetka-ave-76050?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places	9255 Winnetka Ave, Chatsworth, CA 91311, United States	+1 818-885-6519
Ali Baba Persian Restaurant	http://orderalibabapersianrestaurant.com/	17513 Chatsworth St, Granada Hills, CA 91344, United States	+1 818-832-0335
Sansai Japanese Grill	http://www.sansaigrill.com/	9243 Winnetka Ave, Chatsworth, CA 91311, United States	+1 818-734-0005
Villa Italian Kitchen	https://locations.villaitaliankitchen.com/us/ca/northridge/9301-tampa-ave.html?utm_source=Yext&utm_medium=Local&utm_campaign=Website&y_source=1_MzQwMzEyOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ==	9301 Tampa Ave Suite Fc4, Northridge, CA 91324, United States	+1 661-803-6812
Taco Bell	https://locations.tacobell.com/ca/northridge/18100-parthenia-st.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=003114&utm_content=website	18100 Parthenia St, Northridge, CA 91325, United States	+1 818-772-0413
Panda Express	https://www.pandaexpress.com/userlocation/1473/CA/Northridge/18111-Nordhoff-St	18111 Nordhoff St, Northridge, CA 91330, United States	+1 818-727-7226
Denny's	https://locations.dennys.com/CA/RESEDA/246789?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing	7600 Reseda Blvd, Reseda, CA 91335, United States	+1 818-996-4481
Subway	https://order.subway.com/en-us/restaurant/54739/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=54739&utm_campaign=evergreen-2020	9301tampa Ave Space 00103, Northridge, CA 91324, United States	+1 818-775-5750
House Of Shish Kabob	http://houseofshishkabob.net/	10224 Mason Ave, Chatsworth, CA 91311, United States	+1 818-700-0111
Burger King	https://burgerking.com/store-locator/store/restaurant_4287	18111 Nordhoff St, Northridge, CA 91330, United States	+1 818-677-3590
Steak Escape	https://steakescape.com/menu/	9301 Tampa Ave, Northridge, CA 91324, United States	+1 818-727-7681
Carl's Jr.	https://www.carlsjr.com/?utm_source=Yext&utm_medium=Visit%20Website&utm_campaign=Homepage	18090 W, Chatsworth St, Granada Hills, CA 91344, United States	+1 818-360-6125
Chinese Gourmet Express	http://www.chinese-gourmet-express.com/	9301 Tampa Ave FC7, Northridge, CA 91324, United States	+1 818-886-3108
Pizza Hut	https://locations.pizzahut.com/ca/reseda/19371-a-saticoy-st	19371-A, Saticoy St Suite A C-12, Reseda, CA 91335, United States	+1 818-998-5600
Mandarin King	https://mandarinkingtogo.com/	17092 Devonshire St, Northridge, CA 91325, United States	+1 818-366-8999
Chan's Mongolian	http://www.changsmongoliangrill.com/	9301 Tampa Ave, Northridge, CA 91324, United States	+1 818-886-3024
Jack in the Box	https://locations.jackinthebox.com/us/ca/northridge/11216-tampa-ave	11216 Tampa Ave, Northridge, CA 91326, United States	+1 818-368-9941
Baja Fresh	http://www.bajafresh.com/stores/mexican-food-porter-ranch/30133	19711 # C, Rinaldi St, Northridge, CA 91326, United States	+1 818-831-3100
TGI Fridays	https://locations.tgifridays.com/ca/northridge/19855-rinaldi-st.html?utm_source=google&utm_medium=local&utm_campaign=google-local	19855 Rinaldi St, Northridge, CA 91326, United States	+1 818-831-2324
Carl's Jr.	https://www.carlsjr.com/?utm_source=Yext&utm_medium=Visit%20Website&utm_campaign=Homepage	20105 Saticoy St, Canoga Park, CA 91306, United States	+1 818-709-0689
Baja Fresh	http://www.bajafresh.com/stores/mexican-food-granada-hills/30439	16912 Devonshire St, Granada Hills, CA 91344, United States	+1 818-360-1472
Jamba Granada Village	https://www.jamba.com/ca/los-angeles/granada-village-1605?utm_source=google&utm_medium=organic&utm_campaign=localmaps	18145 Chatsworth St, Granada Hills, CA 91344, United States	+1 818-360-3922
Jersey Mike's Subs	https://www.jerseymikes.com/20038	Shopping Center, 18131 Chatsworth Street Granada Village, Granada Hills, CA 91344, United States	+1 818-923-5080
Chipotle Mexican Grill	https://locations.chipotle.com/ca/granada-hills/16959-devonshire-st?utm_source=google&utm_medium=yext&utm_campaign=yext_listings	16959 Devonshire St, Granada Hills, CA 91344, United States	+1 747-300-4570
Del Taco	http://www.deltaco.com/	19644 Vanowen St, Reseda, CA 91335, United States	+1 818-345-3376
Five Guys	https://order.fiveguys.com/menu/five-guys-4001	8400 Balboa Blvd, Northridge, CA 91329, United States	+1 818-221-6966
Taco Bell	https://locations.tacobell.com/ca/northridge/9825-balboa-blvd.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=028467&utm_content=website	9825 Balboa Blvd, Northridge, CA 91325, United States	+1 818-349-0745
Chipotle Mexican Grill	https://locations.chipotle.com/ca/northridge/8420-balboa-blvd?utm_source=google&utm_medium=yext&utm_campaign=yext_listings	8420 Balboa Blvd #110, Northridge, CA 91325, United States	+1 818-891-1034
Popeyes Louisiana Kitchen	https://www.popeyes.com/store-locator/store/restaurant_82332	18300 Vanowen St, Reseda, CA 91335, United States	+1 818-774-9581
KFC	https://locations.kfc.com/ca/northridge/8644-balboa-blvd	8644 Balboa Blvd, Northridge, CA 91325, United States	+1 818-885-9554
Denny's	https://locations.dennys.com/CA/NORTHRIDGE/247142?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing	17018 Devonshire St, Northridge, CA 91325, United States	+1 818-363-9400
Carl's Jr.	https://www.carlsjr.com/?utm_source=Yext&utm_medium=Visit%20Website&utm_campaign=Homepage	18756 Sherman Way, Reseda, CA 91335, United States	+1 818-881-8775
ATHENIAN GRILL	http://atheniangrillreseda.com/	7042 Reseda Blvd, Reseda, CA 91335, United States	+1 818-345-8445
Jack in the Box	https://locations.jackinthebox.com/us/ca/northridge/8322-balboa-ave	8322 Balboa Blvd, Northridge, CA 91325, United States	+1 818-345-6492
Panda Express	https://www.pandaexpress.com/userlocation/1014/CA/Northridge/17056-Devonshire-St	17056 Devonshire St, Northridge, CA 91325, United States	+1 818-360-9091
Panera Bread	https://locations.panerabread.com/ca/granada-hills/16836-w-devonshire-st.html?utm_medium=display-ad&utm_source=paid-digital&utm_campaign=yext&utm_content=local-search	16836 W Devonshire St, Granada Hills, CA 91344, United States	+1 818-900-0646
Carl's Jr.	https://www.carlsjr.com/?utm_source=Yext&utm_medium=Visit%20Website&utm_campaign=Homepage	16815 Devonshire St, Granada Hills, CA 91344, United States	+1 818-368-5177
Taco Bell	https://locations.tacobell.com/ca/canoga-park/8220-de-soto-ave.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=028473&utm_content=website	8220 De Soto Ave, Canoga Park, CA 91304, United States	+1 818-341-9505
The Cheesecake Factory	https://locations.thecheesecakefactory.com/ca/canoga-park-170.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places	6600 Topanga Canyon Blvd Ste 51, Canoga Park, CA 91303, United States	+1 818-883-9900
Taco Bell	https://locations.tacobell.com/ca/chatsworth/21120-devonshire-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=000286&utm_content=website	21120 Devonshire St, Chatsworth, CA 91311, United States	+1 818-341-2688
Jersey Mike's Subs	https://www.jerseymikes.com/20267	8420 Balboa Blvd Unit 112, Northridge, CA 91325, United States	+1 818-960-0996
Ninong's Cafe	http://www.ninongscafe.com/	19524-3 Nordhoff St, Northridge, CA 91324, United States	+1 818-745-9019
HoneyBaked Ham	http://www.shophoneybaked.com/	18540 Devonshire St, Northridge, CA 91324, United States	+1 818-368-4884
Jersey Mike's Subs	https://www.jerseymikes.com/20311	20101 West, Rinaldi St #110, Porter Ranch, CA 91326, United States	+1 818-488-7588
The Ridgeview	https://www.ridgeviewapartmentliving.com/?utm_source=GMB&utm_medium=organic	19039 Nordhoff St, Northridge, CA 91324, United States	+1 818-428-1685
Dreamy Creations	http://dreamycreations.com/	19441 Business Center Drive #114, Northridge, CA 91324, United States	+1 818-882-0120
Neon Retro Arcade Northridge	http://neonretroarcade.com/	8943 Reseda Blvd, Northridge, CA 91324, United States	+1 818-818-5036
Pizza Hut	https://locations.pizzahut.com/ca/chatsworth/20901-lassen-st	20901 Lassen St, Chatsworth, CA 91311, United States	+1 818-772-0700
Western Bagel	http://www.westernbagel.com/	19500 Plummer St F2, Northridge, CA 91324, United States	+1 818-727-9404
Blu Jam Cafe	http://www.blujamcafe.com/	15045 Ventura Blvd, Sherman Oaks, CA 91403, United States	+1 818-906-1955
Lotus Vegan	http://lotusveganla.com/	4715 Lankershim Blvd, North Hollywood, CA 91602, United States	+1 818-760-8088
Asian Spot	http://www.asianspothalal.com/	8327 Tampa Ave, Northridge, CA 91324, United States	+1 818-709-6328
Santuari Restaurant	https://www.santuarirestaurant.com/	6711 Forest Lawn Dr, Los Angeles, CA 90068, United States	+1 323-902-9700
PAPAKUNA AUTHENTIC PERUVIAN CUISINE	http://picanteauthenticperuvian.com/	15030 #24, Ventura Blvd, Sherman Oaks, CA 91403, United States	+1 818-995-6466
Santuari Restaurant	https://www.santuarirestaurant.com/	6711 Forest Lawn Dr, Los Angeles, CA 90068, United States	+1 323-902-9700
PAPAKUNA AUTHENTIC PERUVIAN CUISINE	http://picanteauthenticperuvian.com/	15030 #24, Ventura Blvd, Sherman Oaks, CA 91403, United States	+1 818-995-6466
Cold Stone Creamery	http://www.coldstonecreamery.com/stores/20144	19500 Plummer St Unit F5, Northridge, CA 91324, United States	+1 818-700-1443
Wirtshaus German Restaurant & Beer Garden	http://www.wirtshausla.com/	345 N La Brea Ave, Los Angeles, CA 90036, United States	+1 323-931-9291
Republique	http://www.republiquela.com/	624 South La Brea Ave, Los Angeles, CA 90036, United States	+1 310-362-6115
Brent's Delicatessen & Restaurant	http://brentsdeli.com/	2799 Townsgate Rd, Westlake Village, CA 91361, United States	+1 805-557-1882
